# DD-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic     | dest | src  | summary          | description
00 | 0 | 0 |  NOP | NOP          |      |      | NOP              | NOP (undocumented)
01 | 2 | 3 |   LD | LD BC, nn    |   BC |   nn | BC=nn            | Load BC (16bit) with {nn} (undocumented)
02 | 0 | 0 |   LD | LD (BC), A   |  $BC |    A | $BC=A            | Load memory $BC with register A (undocumented)
03 | 0 | 0 |  INC | INC BC       |   BC |      | BC++             | Increment BC (16bit) (undocumented)
04 | 0 | 0 |  INC | INC B        |    B |      | B++              | Increment B (undocumented)
05 | 0 | 0 |  DEC | DEC B        |    B |      | B--              | Decrement B (undocumented)
06 | 1 | 1 |   LD | LD B, n      |    B |    n | B=n              | Load register B with {n} (undocumented)
07 | 0 | 0 |  RLC | RLCA         |      |      | c<=(A<<1)        | Rotate left-circular register A (undocumented)
08 | 0 | 0 |   EX | EX AF, AF'   |   AF |  AF' | AF <=> AF'       | Exchange AF with AF' (undocumented)
09 | 0 | 0 |  ADD | ADD IX, BC   |   IX |   BC | IX+=BC           | Add (16bit) BC to IX
0a | 0 | 0 |   LD | LD A, (BC)   |    A |  $BC | A=$BC            | Load register A with memory $BC (undocumented)
0b | 0 | 0 |  DEC | DEC BC       |   BC |      | BC--             | Decrement BC (16bit) (undocumented)
0c | 0 | 0 |  INC | INC C        |    C |      | C++              | Increment C (undocumented)
0d | 0 | 0 |  DEC | DEC C        |    C |      | C--              | Decrement C (undocumented)
0e | 1 | 1 |   LD | LD C, n      |    C |    n | C=n              | Load register C with {n} (undocumented)
0f | 0 | 0 |  RRC | RRCA         |      |      | (A>>1)=>c        | Rotate right-circular register A (undocumented)
#op|xtr| type | mnemonic     | dest | src  | summary          | description
10 | 1 | 2 | DJNZ | DJNZ, d      |      |    d | PC+=(--B)?d:0    | Decrement B and jump {d} if B!=0 (undocumented)
11 | 2 | 3 |   LD | LD DE, nn    |   DE |   nn | DE=nn            | Load DE (16bit) with {nn} (undocumented)
12 | 0 | 0 |   LD | LD (DE), A   |  $DE |    A | $DE=A            | Load memory $DE with register A (undocumented)
13 | 0 | 0 |  INC | INC DE       |   DE |      | DE++             | Increment DE (16bit) (undocumented)
14 | 0 | 0 |  INC | INC D        |    D |      | D++              | Increment D (undocumented)
15 | 0 | 0 |  DEC | DEC D        |    D |      | D--              | Decrement D (undocumented)
16 | 1 | 1 |   LD | LD D, n      |    D |    n | D=n              | Load register D with {n} (undocumented)
17 | 0 | 0 |   RL | RLA          |      |      | c<=(A<<1)<=c     | Rotate left register A (undocumented)
18 | 1 | 2 |   JR | JR d         |      |    d | PC+=d            | Jump {d} (undocumented)
19 | 0 | 0 |  ADD | ADD IX, DE   |   IX |   DE | IX+=DE           | Add (16bit) DE to IX
1a | 0 | 0 |   LD | LD A, (DE)   |    A |  $DE | A=$DE            | Load register A with memory $DE (undocumented)
1b | 0 | 0 |  DEC | DEC DE       |   DE |      | DE--             | Decrement DE (16bit) (undocumented)
1c | 0 | 0 |  INC | INC E        |    E |      | E++              | Increment E (undocumented)
1d | 0 | 0 |  DEC | DEC E        |    E |      | E--              | Decrement E (undocumented)
1e | 1 | 1 |   LD | LD E, n      |    E |    n | E=n              | Load register E with {n} (undocumented)
1f | 0 | 0 |   RR | RRA          |      |      | c=>(A>>1)=>c     | Rotate right register A (undocumented)
#op|xtr| type | mnemonic     | dest | src  | summary          | description
20 | 1 | 2 |   JR | JRNZ d       |      |    d | PC+=(z=0)?d:0    | Jump {d} if z flag is 0 (undocumented)
21 | 2 | 3 |   LD | LD IX, nn    |   IX |   nn | IX=nn            | Load (16bit) IX with {nn}
22 | 2 | 3 |   LD | LD (nn), IX  | (nn) |   IX | $nn=IX           | Load memory ${nn} (16bit) with register IX
23 | 0 | 0 |  INC | INC IX       |   IX |      | IX++             | Increment IX (16bit)
24 | 0 | 0 |  INC | INC IXh      |  IXh |      | IXh++            | Increment the high byte of IX (undocumented)
25 | 0 | 0 |  DEC | DEC IXh      |  IXh |      | IXh--            | Decrement the high byte of IX (undocumented)
26 | 1 | 1 |   LD | LD IXh, n    |  IXh |    n | IXh=n            | Load the high byte of IX with {n} (undocumented)
27 | 0 | 0 |  DAA | DAA          |    A |      | A<={c,h,A}       | Decimal adjust register A (undocumented)
28 | 1 | 2 |   JR | JRZ d        |      |    d | PC+=(z=1)?d:0    | Jump {d} if z flag is 1 (undocumented)
29 | 0 | 0 |  ADD | ADD IX, IX   |   IX |   IX | IX+=IX           | Add (16bit) IX to IX
2a | 2 | 3 |   LD | LD IX,(nn)   |   IX | (nn) | IX=$nn           | Load register IX (16bit) with memory ${nn}
2b | 0 | 0 |  DEC | DEC IX       |   IX |      | IX--             | Decrement IX (16bit)
2c | 0 | 0 |  INC | INC IXl      |  IXl |      | IXl++            | Increment the low byte of IX (undocumented)
2d | 0 | 0 |  DEC | DEC IXl      |  IXl |      | IXl--            | Decrement the low byte of IX (undocumented)
2e | 1 | 1 |   LD | LD IXl, n    |  IXl |    n | IXl=n            | Load the low byte of IX with {n} (undocumented)
2f | 0 | 0 |  CPL | CPL          |      |      | A=~A             | Invert register A (undocumented)
#op|xtr| type | mnemonic     | dest | src  | summary          | description
30 | 1 | 2 |   JR | JRNC d       |      |    d | PC+=(c=0)?d:0    | Jump {d} if c flag is 0 (undocumented)
31 | 2 | 3 |   LD | LD SP, nn    |   SP |   nn | SP=nn            | Load SP (16bit) with {nn} (undocumented)
32 | 2 | 3 |   LD | LD (nn), A   |  $nn |    A | $nn=A            | Load memory ${nn} with register A (undocumented)
33 | 0 | 0 |  INC | INC SP       |   SP |      | SP++             | Increment SP (16bit) (undocumented)
34 | 1 | 2 |  INC | INC (IX+d)   | (IX+d) |      | $(IX+d)++        | Increment memory $(IX+{d})
35 | 1 | 2 |  DEC | DEC (IX+d)   | (IX+d) |      | $(IX+d)--        | Decrement memory $(IX+{d})
36 | 2 | 4 |   LD | LD (IX+d), n | (IX+d) |    n | $(IX+d)=n        | Load memory $(IX+{d}) with {n}
37 | 0 | 0 |  SCF | SCF          |      |      | c=1              | Set Carry flag (undocumented)
38 | 1 | 2 |   JR | JRC d        |      |    d | PC+=(c=1)?d:0    | Jump {d} if c flag is 1 (undocumented)
39 | 0 | 0 |  ADD | ADD IX, SP   |   IX |   SP | IX+=SP           | Add (16bit) SP to IX
