# DDCB-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic            | dest |   src  | summary                                      | description
00 | 1 | 2 | RLC  | LD B, RLC (IX+d)    |    B | (IX+d) | c=$(IX+d):8,$(IX+d)<rot=1,B=$(IX+d)          | Rotate left-circular memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
01 | 1 | 2 | RLC  | LD C, RLC (IX+d)    |    C | (IX+d) | c=$(IX+d):8,$(IX+d)<rot=1,C=$(IX+d)          | Rotate left-circular memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
02 | 1 | 2 | RLC  | LD D, RLC (IX+d)    |    D | (IX+d) | c=$(IX+d):8,$(IX+d)<rot=1,D=$(IX+d)          | Rotate left-circular memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
03 | 1 | 2 | RLC  | LD E, RLC (IX+d)    |    E | (IX+d) | c=$(IX+d):8,$(IX+d)<rot=1,E=$(IX+d)          | Rotate left-circular memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
04 | 1 | 2 | RLC  | LD H, RLC (IX+d)    |    H | (IX+d) | c=$(IX+d):8,$(IX+d)<rot=1,H=$(IX+d)          | Rotate left-circular memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
05 | 1 | 2 | RLC  | LD L, RLC (IX+d)    |    L | (IX+d) | c=$(IX+d):8,$(IX+d)<rot=1,L=$(IX+d)          | Rotate left-circular memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
06 | 1 | 2 | RLC  | RLC (IX+d)          |      |        | c=$(IX+d):8,$(IX+d)<rot=1                    | Rotate left-circular memory $(IX+{d})
07 | 1 | 2 | RLC  | LD A, RLC (IX+d)    |    A | (IX+d) | c=$(IX+d):8,$(IX+d)<rot=1,A=$(IX+d)          | Rotate left-circular memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
08 | 1 | 2 | RRC  | LD B, RRC (IX+d)    |    B | (IX+d) | c=$(IX+d):0,$(IX+d)>rot=1,B=$(IX+d)          | Rotate right-circular memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
09 | 1 | 2 | RRC  | LD C, RRC (IX+d)    |    C | (IX+d) | c=$(IX+d):0,$(IX+d)>rot=1,C=$(IX+d)          | Rotate right-circular memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
0a | 1 | 2 | RRC  | LD D, RRC (IX+d)    |    D | (IX+d) | c=$(IX+d):0,$(IX+d)>rot=1,D=$(IX+d)          | Rotate right-circular memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
0b | 1 | 2 | RRC  | LD E, RRC (IX+d)    |    E | (IX+d) | c=$(IX+d):0,$(IX+d)>rot=1,E=$(IX+d)          | Rotate right-circular memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
0c | 1 | 2 | RRC  | LD H, RRC (IX+d)    |    H | (IX+d) | c=$(IX+d):0,$(IX+d)>rot=1,H=$(IX+d)          | Rotate right-circular memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
0d | 1 | 2 | RRC  | LD L, RRC (IX+d)    |    L | (IX+d) | c=$(IX+d):0,$(IX+d)>rot=1,L=$(IX+d)          | Rotate right-circular memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
0e | 1 | 2 | RRC  | RRC (IX+d)          |      |        | c=$(IX+d):0,$(IX+d)>rot=1                    | Rotate right-circular memory $(IX+{d})
0f | 1 | 2 | RRC  | LD A, RRC (IX+d)    |    A | (IX+d) | c=$(IX+d):0,$(IX+d)>rot=1,A=$(IX+d)          | Rotate right-circular memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
10 | 1 | 2 | RL   | LD B, RL (IX+d)     |    B | (IX+d) | (c,$(IX+d))<rot=(c,$(IX+d)),B=$(IX+d)        | Rotate left through carry memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
11 | 1 | 2 | RL   | LD C, RL (IX+d)     |    C | (IX+d) | (c,$(IX+d))<rot=(c,$(IX+d)),C=$(IX+d)        | Rotate left through carry memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
12 | 1 | 2 | RL   | LD D, RL (IX+d)     |    D | (IX+d) | (c,$(IX+d))<rot=(c,$(IX+d)),D=$(IX+d)        | Rotate left through carry memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
13 | 1 | 2 | RL   | LD E, RL (IX+d)     |    E | (IX+d) | (c,$(IX+d))<rot=(c,$(IX+d)),E=$(IX+d)        | Rotate left through carry memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
14 | 1 | 2 | RL   | LD H, RL (IX+d)     |    H | (IX+d) | (c,$(IX+d))<rot=(c,$(IX+d)),H=$(IX+d)        | Rotate left through carry memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
15 | 1 | 2 | RL   | LD L, RL (IX+d)     |    L | (IX+d) | (c,$(IX+d))<rot=(c,$(IX+d)),L=$(IX+d)        | Rotate left through carry memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
16 | 1 | 2 | RL   | RL (IX+d)           |      |        | (c,$(IX+d))<rot=(c,$(IX+d))                  | Rotate left through carry memory $(IX+{d})
17 | 1 | 2 | RL   | LD A, RL (IX+d)     |    A | (IX+d) | (c,$(IX+d))<rot=(c,$(IX+d)),A=$(IX+d)        | Rotate left through carry memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
18 | 1 | 2 | RR   | LD B, RR (IX+d)     |    B | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),B=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
19 | 1 | 2 | RR   | LD C, RR (IX+d)     |    C | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),C=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
1a | 1 | 2 | RR   | LD D, RR (IX+d)     |    D | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),D=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
1b | 1 | 2 | RR   | LD E, RR (IX+d)     |    E | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),E=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register E with memory $(IX+{d}) (undocumented)
1c | 1 | 2 | RR   | LD H, RR (IX+d)     |    H | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),H=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register H with memory $(IX+{d}) (undocumented)
1d | 1 | 2 | RR   | LD L, RR (IX+d)     |    L | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),L=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register L with memory $(IX+{d}) (undocumented)
1e | 1 | 2 | RR   | RR (IX+d)           |      |        | ($(IX+d),c)<rot=($(IX+d),c)                  | Rotate right though carry memory $(IX+{d})
1f | 1 | 2 | RR   | LD A, RR (IX+d)     |    A | (IX+d) | ($(IX+d),c)<rot=($(IX+d),c),A=$(IX+d)        | Rotate right though carry memory $(IX+{d}), Load register A with memory $(IX+{d}) (undocumented)
20 | 1 | 2 | SLA  | LD B, SLA (IX+d)    |    B | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,B=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register B with memory $(IX+{d}) (undocumented)
21 | 1 | 2 | SLA  | LD C, SLA (IX+d)    |    C | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,C=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register C with memory $(IX+{d}) (undocumented)
22 | 1 | 2 | SLA  | LD D, SLA (IX+d)    |    D | (IX+d) | (c,$(IX+d))=($(IX+d),0)<<1,D=$(IX+d)         | Shift left-arithmetic memory $(IX+{d}), Load register D with memory $(IX+{d}) (undocumented)
