# FDCB-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic            | dest |   src  | summary                                      | description
00 | 1 | 2 | RLC  | LD B, RLC (IY+d)    |    B | (IY+d) | c=$(IY+d):8,$(IY+d)<rot=1,B=$(IY+d)          | Rotate left-circular memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
01 | 1 | 2 | RLC  | LD C, RLC (IY+d)    |    C | (IY+d) | c=$(IY+d):8,$(IY+d)<rot=1,C=$(IY+d)          | Rotate left-circular memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
02 | 1 | 2 | RLC  | LD D, RLC (IY+d)    |    D | (IY+d) | c=$(IY+d):8,$(IY+d)<rot=1,D=$(IY+d)          | Rotate left-circular memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
03 | 1 | 2 | RLC  | LD E, RLC (IY+d)    |    E | (IY+d) | c=$(IY+d):8,$(IY+d)<rot=1,E=$(IY+d)          | Rotate left-circular memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
04 | 1 | 2 | RLC  | LD H, RLC (IY+d)    |    H | (IY+d) | c=$(IY+d):8,$(IY+d)<rot=1,H=$(IY+d)          | Rotate left-circular memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
05 | 1 | 2 | RLC  | LD L, RLC (IY+d)    |    L | (IY+d) | c=$(IY+d):8,$(IY+d)<rot=1,L=$(IY+d)          | Rotate left-circular memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
06 | 1 | 2 | RLC  | RLC (IY+d)          |      |        | c=$(IY+d):8,$(IY+d)<rot=1                    | Rotate left-circular memory $(IY+{d})
07 | 1 | 2 | RLC  | LD A, RLC (IY+d)    |    A | (IY+d) | c=$(IY+d):8,$(IY+d)<rot=1,A=$(IY+d)          | Rotate left-circular memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
08 | 1 | 2 | RRC  | LD B, RRC (IY+d)    |    B | (IY+d) | c=$(IY+d):0,$(IY+d)>rot=1,B=$(IY+d)          | Rotate right-circular memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
09 | 1 | 2 | RRC  | LD C, RRC (IY+d)    |    C | (IY+d) | c=$(IY+d):0,$(IY+d)>rot=1,C=$(IY+d)          | Rotate right-circular memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
0a | 1 | 2 | RRC  | LD D, RRC (IY+d)    |    D | (IY+d) | c=$(IY+d):0,$(IY+d)>rot=1,D=$(IY+d)          | Rotate right-circular memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
0b | 1 | 2 | RRC  | LD E, RRC (IY+d)    |    E | (IY+d) | c=$(IY+d):0,$(IY+d)>rot=1,E=$(IY+d)          | Rotate right-circular memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
0c | 1 | 2 | RRC  | LD H, RRC (IY+d)    |    H | (IY+d) | c=$(IY+d):0,$(IY+d)>rot=1,H=$(IY+d)          | Rotate right-circular memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
0d | 1 | 2 | RRC  | LD L, RRC (IY+d)    |    L | (IY+d) | c=$(IY+d):0,$(IY+d)>rot=1,L=$(IY+d)          | Rotate right-circular memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
0e | 1 | 2 | RRC  | RRC (IY+d)          |      |        | c=$(IY+d):0,$(IY+d)>rot=1                    | Rotate right-circular memory $(IY+{d})
0f | 1 | 2 | RRC  | LD A, RRC (IY+d)    |    A | (IY+d) | c=$(IY+d):0,$(IY+d)>rot=1,A=$(IY+d)          | Rotate right-circular memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
10 | 1 | 2 | RL   | LD B, RL (IY+d)     |    B | (IY+d) | (c,$(IY+d))<rot=(c,$(IY+d)),B=$(IY+d)        | Rotate left through carry memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
11 | 1 | 2 | RL   | LD C, RL (IY+d)     |    C | (IY+d) | (c,$(IY+d))<rot=(c,$(IY+d)),C=$(IY+d)        | Rotate left through carry memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
12 | 1 | 2 | RL   | LD D, RL (IY+d)     |    D | (IY+d) | (c,$(IY+d))<rot=(c,$(IY+d)),D=$(IY+d)        | Rotate left through carry memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
13 | 1 | 2 | RL   | LD E, RL (IY+d)     |    E | (IY+d) | (c,$(IY+d))<rot=(c,$(IY+d)),E=$(IY+d)        | Rotate left through carry memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
14 | 1 | 2 | RL   | LD H, RL (IY+d)     |    H | (IY+d) | (c,$(IY+d))<rot=(c,$(IY+d)),H=$(IY+d)        | Rotate left through carry memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
15 | 1 | 2 | RL   | LD L, RL (IY+d)     |    L | (IY+d) | (c,$(IY+d))<rot=(c,$(IY+d)),L=$(IY+d)        | Rotate left through carry memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
16 | 1 | 2 | RL   | RL (IY+d)           |      |        | (c,$(IY+d))<rot=(c,$(IY+d))                  | Rotate left through carry memory $(IY+{d})
17 | 1 | 2 | RL   | LD A, RL (IY+d)     |    A | (IY+d) | (c,$(IY+d))<rot=(c,$(IY+d)),A=$(IY+d)        | Rotate left through carry memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
18 | 1 | 2 | RR   | LD B, RR (IY+d)     |    B | (IY+d) | ($(IY+d),c)<rot=($(IY+d),c),B=$(IY+d)        | Rotate right though carry memory $(IY+{d}), Load register B with memory $(IY+{d}) (undocumented)
19 | 1 | 2 | RR   | LD C, RR (IY+d)     |    C | (IY+d) | ($(IY+d),c)<rot=($(IY+d),c),C=$(IY+d)        | Rotate right though carry memory $(IY+{d}), Load register C with memory $(IY+{d}) (undocumented)
1a | 1 | 2 | RR   | LD D, RR (IY+d)     |    D | (IY+d) | ($(IY+d),c)<rot=($(IY+d),c),D=$(IY+d)        | Rotate right though carry memory $(IY+{d}), Load register D with memory $(IY+{d}) (undocumented)
1b | 1 | 2 | RR   | LD E, RR (IY+d)     |    E | (IY+d) | ($(IY+d),c)<rot=($(IY+d),c),E=$(IY+d)        | Rotate right though carry memory $(IY+{d}), Load register E with memory $(IY+{d}) (undocumented)
1c | 1 | 2 | RR   | LD H, RR (IY+d)     |    H | (IY+d) | ($(IY+d),c)<rot=($(IY+d),c),H=$(IY+d)        | Rotate right though carry memory $(IY+{d}), Load register H with memory $(IY+{d}) (undocumented)
1d | 1 | 2 | RR   | LD L, RR (IY+d)     |    L | (IY+d) | ($(IY+d),c)<rot=($(IY+d),c),L=$(IY+d)        | Rotate right though carry memory $(IY+{d}), Load register L with memory $(IY+{d}) (undocumented)
1e | 1 | 2 | RR   | RR (IY+d)           |      |        | ($(IY+d),c)<rot=($(IY+d),c)                  | Rotate right though carry memory $(IY+{d})
1f | 1 | 2 | RR   | LD A, RR (IY+d)     |    A | (IY+d) | ($(IY+d),c)<rot=($(IY+d),c),A=$(IY+d)        | Rotate right though carry memory $(IY+{d}), Load register A with memory $(IY+{d}) (undocumented)
