# No Prefix Z80 opcodes
#
#op|xtr|xtp| type | mnemonic    | dest | src  | summary          | description
00 | 0 | 0 |  NOP | NOP         |      |      | NOP              | NOP
01 | 2 | 3 |   LD | LD BC, nn   |   BC |   nn | BC=nn            | Load BC (16bit) with {nn}
02 | 0 | 0 |   LD | LD (BC), A  |  $BC |    A | $BC=A            | Load memory $BC with register A
03 | 0 | 0 |  INC | INC BC      |   BC |      | BC++             | Increment BC (16bit)
04 | 0 | 0 |  INC | INC B       |    B |      | B++              | Increment B
05 | 0 | 0 |  DEC | DEC B       |    B |      | B--              | Decrement B
06 | 1 | 1 |   LD | LD B, n     |    B |    n | B=n              | Load register B with {n}
07 | 0 | 0 |  RLC | RLCA        |      |      | c<=(A<<1)        | Rotate left-circular register A
08 | 0 | 0 |   EX | EX AF, AF'  |   AF |  AF' | AF <=> AF'       | Exchange AF with AF'
09 | 0 | 0 |  ADD | ADD HL, BC  |   HL |   BC | HL+=BC           | Add (16bit) BC to HL
0a | 0 | 0 |   LD | LD A, (BC)  |    A |  $BC | A=$BC            | Load register A with memory $BC
0b | 0 | 0 |  DEC | DEC BC      |   BC |      | BC--             | Decrement BC (16bit)
0c | 0 | 0 |  INC | INC C       |    C |      | C++              | Increment C
0d | 0 | 0 |  DEC | DEC C       |    C |      | C--              | Decrement C
0e | 1 | 1 |   LD | LD C, n     |    C |    n | C=n              | Load register C with {n}
0f | 0 | 0 |  RRC | RRCA        |      |      | (A>>1)=>c        | Rotate right-circular register A
#op|xtr|xtp| type | mnemonic    | dest | src  | summary          | description
10 | 1 | 2 | DJNZ | DJNZ d      |      |    d | PC+=(--B)?d:0    | Decrement B and jump {d} if B!=0
11 | 2 | 3 |   LD | LD DE, nn   |   DE |   nn | DE=nn            | Load DE (16bit) with {nn}
12 | 0 | 0 |   LD | LD (DE), A  |  $DE |    A | $DE=A            | Load memory $DE with register A
13 | 0 | 0 |  INC | INC DE      |   DE |      | DE++             | Increment DE (16bit)
14 | 0 | 0 |  INC | INC D       |    D |      | D++              | Increment D
15 | 0 | 0 |  DEC | DEC D       |    D |      | D--              | Decrement D
16 | 1 | 1 |   LD | LD D, n     |    D |    n | D=n              | Load register D with {n}
17 | 0 | 0 |   RL | RLA         |      |      | c<=(A<<1)<=c     | Rotate left register A
18 | 1 | 2 |   JR | JR d        |      |    d | PC+=d            | Jump {d}
19 | 0 | 0 |  ADD | ADD HL, DE  |   HL |   DE | HL+=DE           | Add (16bit) DE to HL
1a | 0 | 0 |   LD | LD A, (DE)  |    A |  $DE | A=$DE            | Load register A with memory $DE
1b | 0 | 0 |  DEC | DEC DE      |   DE |      | DE--             | Decrement DE (16bit)
1c | 0 | 0 |  INC | INC E       |    E |      | E++              | Increment E
1d | 0 | 0 |  DEC | DEC E       |    E |      | E--              | Decrement E
1e | 1 | 1 |   LD | LD E, n     |    E |    n | E=n              | Load register E with {n}
1f | 0 | 0 |   RR | RRA         |      |      | c=>(A>>1)=>c     | Rotate right register A
#op|xtr|xtp| type | mnemonic    | dest | src  | summary          | description
20 | 1 | 2 |   JR | JRNZ d      |      |    d | PC+=(z=0)?d:0    | Jump {d} if z flag is 0
21 | 2 | 3 |   LD | LD HL, nn   |   HL |   nn | HL=nn            | Load HL (16bit) with {nn}
22 | 2 | 3 |   LD | LD (nn), HL |  $nn |   HL | $nn=HL           | Load memory ${nn} (16bit) with register HL
