# ED-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic    | dest | src  | summary                | description
00 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
01 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
02 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
03 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
04 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
05 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
06 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
07 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
08 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
09 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
0a | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
0b | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
0c | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
0d | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
0e | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
0f | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
10 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
11 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
12 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
13 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
14 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
15 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
16 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
17 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
18 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
19 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
1a | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
1b | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
1c | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
1d | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
1e | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
1f | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
20 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
21 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
22 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
23 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
24 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
25 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
26 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
27 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
28 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
29 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
2a | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
2b | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
2c | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
2d | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
2e | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
2f | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
30 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
31 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
32 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
33 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
34 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
35 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
36 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
37 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
38 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
39 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
3a | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
3b | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
3c | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
3d | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
3e | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
3f | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
40 | 0 | 0 | IN   | IN B, (C)   |    B |  (C) | B=IN(C)                | Load register B with port (C)
41 | 0 | 0 | OUT  | OUT (C), B  |  (C) |    B | OUT(C)=B               | Load port (C) with register B
42 | 0 | 0 | SBC  | SBC HL, BC  |   HL |   BC | HL-=BC                 | Subtract with carry (16bit) BC from HL
43 | 2 | 3 | LD   | LD (nn), BC | (nn) |   BC | $nn=BC                 | Load (16bit) memory ${nn} with register BC
44 | 0 | 0 | NEG  | NEG         |      |      | A=-A                   | Negate register A (2's Compliment)
45 | 0 | 0 | RET  | RETN        |      |      | RETURN                 | Return from non-maskable interrupt
46 | 0 | 0 | IM   | IM 0        |      |      | IM(0)                  | Set Interrupt Mode 0
